LocID,Location,Year,AgeGrp,PopMale,PopFemale
954,Micronesia,2030,0-4,27.784,26.441
496,Mongolia,2030,0-4,163.199,159.11
499,Montenegro,2030,0-4,17.297,16.377
504,Morocco,2030,0-4,1589.135,1503.864
508,Mozambique,2030,0-4,3137.364,3115.963
104,Myanmar,2030,0-4,2243.03,2202.589
516,Namibia,2030,0-4,171.602,171.297
524,Nepal,2030,0-4,1288.792,1222.804
528,Netherlands,2030,0-4,450.906,429.522
540,New Caledonia,2030,0-4,10.141,9.672
554,New Zealand,2030,0-4,154.638,146.494
558,Nicaragua,2030,0-4,309.991,296.542
562,Niger,2030,0-4,3283.825,3158.357
566,Nigeria,2030,0-4,20400.091,19448.825
807,North Macedonia,2030,0-4,48.829,46.357
578,Norway,2030,0-4,167.825,158.091
1835,Oceania (excluding Australia and New Zealand),2030,0-4,827.057,775.852
512,Oman,2030,0-4,193.581,184.419
586,Pakistan,2030,0-4,14643.556,13665.099
591,Panama,2030,0-4,202.582,193.441
598,Papua New Guinea,2030,0-4,630.455,589.131
600,Paraguay,2030,0-4,349.782,334.19
604,Peru,2030,0-4,1376.207,1312.887
608,Philippines,2030,0-4,5614.87,5321.278
616,Poland,2030,0-4,799.714,757.539
957,Polynesia,2030,0-4,32.333,30.435
620,Portugal,2030,0-4,198.638,187.505
630,Puerto Rico,2030,0-4,55.999,53.334
634,Qatar,2030,0-4,68.877,65.502
410,Republic of Korea,2030,0-4,877.951,829.531
498,Republic of Moldova,2030,0-4,84.698,80.303
642,Romania,2030,0-4,429.021,406.011
643,Russian Federation,2030,0-4,3780.767,3588.813
646,Rwanda,2030,0-4,1022.067,999.776
638,R̩union,2030,0-4,32.088,31.153
662,Saint Lucia,2030,0-4,4.679,4.557
670,Saint Vincent and the Grenadines,2030,0-4,3.572,3.479
882,Samoa,2030,0-4,12.302,11.409
678,Sao Tome and Principe,2030,0-4,18.355,17.949
682,Saudi Arabia,2030,0-4,1305.993,1268.792
686,Senegal,2030,0-4,1522.244,1480.411
688,Serbia,2030,0-4,185.694,175.329
690,Seychelles,2030,0-4,3.582,3.384
694,Sierra Leone,2030,0-4,616.529,612.115
702,Singapore,2030,0-4,128.46,118.882
703,Slovakia,2030,0-4,126.399,120.522
705,Slovenia,2030,0-4,44.384,42.113
90,Solomon Islands,2030,0-4,58.674,55.825
706,Somalia,2030,0-4,1815.385,1787.934
724,Spain,2030,0-4,901.193,847.467
144,Sri Lanka,2030,0-4,755.403,726.528
275,State of Palestine,2030,0-4,378.994,361.513
729,Sudan,2030,0-4,3732.79,3629.846
740,Suriname,2030,0-4,25.524,24.418
752,Sweden,2030,0-4,304.57,287.641
756,Switzerland,2030,0-4,229.394,218.592
760,Syrian Arab Republic,2030,0-4,1214.819,1160.542
762,Tajikistan,2030,0-4,676.198,639.703
764,Thailand,2030,0-4,1596.454,1504.977
626,Timor-Leste,2030,0-4,95.751,92.288
768,Togo,2030,0-4,712.34,707.976
776,Tonga,2030,0-4,6.412,6.092
780,Trinidad and Tobago,2030,0-4,37.057,35.878
788,Tunisia,2030,0-4,425.71,405.896
792,Turkey,2030,0-4,3083.068,2941.147
795,Turkmenistan,2030,0-4,295.964,287.444
800,Uganda,2030,0-4,4340.385,4252.997
804,Ukraine,2030,0-4,876.689,827.144
784,United Arab Emirates,2030,0-4,251.305,240.819
826,United Kingdom,2030,0-4,1948.889,1855.921
834,United Republic of Tanzania,2030,0-4,6074.123,5944.353
850,United States Virgin Islands,2030,0-4,2.753,2.593
840,United States of America,2030,0-4,10634.887,10173.267
858,Uruguay,2030,0-4,113.954,108.787
860,Uzbekistan,2030,0-4,1509.096,1424.956
548,Vanuatu,2030,0-4,24.068,22.951
862,Venezuela (Bolivarian Republic of),2030,0-4,1347.546,1292.321
704,Viet Nam,2030,0-4,3604.875,3369.593
887,Yemen,2030,0-4,2154.375,2069.245
894,Zambia,2030,0-4,1846.728,1808.082
716,Zimbabwe,2030,0-4,1067.755,1054.879
4,Afghanistan,2030,5-9,2949.438,2807.293
8,Albania,2030,5-9,78.448,72.399
12,Algeria,2030,5-9,2328.046,2232.531
24,Angola,2030,5-9,3243.623,3194.29
28,Antigua and Barbuda,2030,5-9,3.585,3.485
32,Argentina,2030,5-9,1883.347,1813.592
51,Armenia,2030,5-9,93.581,85.66
533,Aruba,2030,5-9,3.271,3.137
36,Australia,2030,5-9,880.501,835.02
40,Austria,2030,5-9,234.17,222.268
31,Azerbaijan,2030,5-9,369.739,332.837
44,Bahamas,2030,5-9,14.105,13.37
48,Bahrain,2030,5-9,56.78,54.612
50,Bangladesh,2030,5-9,7013.308,6717.905
52,Barbados,2030,5-9,7.626,7.375
112,Belarus,2030,5-9,263.957,248.535
56,Belgium,2030,5-9,325.031,310.138
84,Belize,2030,5-9,20.615,20.082
204,Benin,2030,5-9,1035.307,1007.797
64,Bhutan,2030,5-9,30.899,29.924
68,Bolivia (Plurinational State of),2030,5-9,607.437,582.392
70,Bosnia and Herzegovina,2030,5-9,61.483,58.681
72,Botswana,2030,5-9,134.145,131.17
76,Brazil,2030,5-9,6975.73,6660.479
96,Brunei Darussalam,2030,5-9,15.128,14.366
100,Bulgaria,2030,5-9,149.257,141.024
854,Burkina Faso,2030,5-9,1900.046,1834.265
108,Burundi,2030,5-9,1104.401,1086.238
132,Cabo Verde,2030,5-9,24.692,24.081
116,Cambodia,2030,5-9,872.256,835.305
120,Cameroon,2030,5-9,2184.473,2148.152
124,Canada,2030,5-9,1043.755,992.108
148,Chad,2030,5-9,1561.813,1547.676
830,Channel Islands,2030,5-9,4.607,4.368
152,Chile,2030,5-9,560.063,538.933
156,China,2030,5-9,40024.719,36167.828
344,"China, Hong Kong SAR",2030,5-9,200.068,186.714
446,"China, Macao SAR",2030,5-9,18.509,17.723
158,"China, Taiwan Province of China",2030,5-9,530.008,494.489
170,Colombia,2030,5-9,1771.59,1692.061
174,Comoros,2030,5-9,64.238,62.019
178,Congo,2030,5-9,442.434,433.979
188,Costa Rica,2030,5-9,167.765,160.011
191,Croatia,2030,5-9,85.875,81.085
192,Cuba,2030,5-9,269.274,254.876
531,Cura̤ao,2030,5-9,4.686,4.485
196,Cyprus,2030,5-9,30.879,29.076
203,Czechia,2030,5-9,271.145,256.614
384,C̫te d'Ivoire,2030,5-9,2231.52,2208.068
408,Dem. People's Republic of Korea,2030,5-9,886.028,844.958
180,Democratic Republic of the Congo,2030,5-9,8568.336,8426.846
208,Denmark,2030,5-9,169.66,160.913
262,Djibouti,2030,5-9,48.161,47.183
214,Dominican Republic,2030,5-9,489.532,469.737
218,Ecuador,2030,5-9,844.638,806.616
818,Egypt,2030,5-9,6378.987,6035.014
222,El Salvador,2030,5-9,278.947,265.677
226,Equatorial Guinea,2030,5-9,111.019,109.122
232,Eritrea,2030,5-9,253.236,243.65
233,Estonia,2030,5-9,33.224,31.339
748,Eswatini,2030,5-9,68.901,67.864
231,Ethiopia,2030,5-9,8947.754,8718.7
242,Fiji,2030,5-9,44.302,42.089
246,Finland,2030,5-9,127.676,121.651
250,France,2030,5-9,1832.046,1749.484
254,French Guiana,2030,5-9,19.34,18.454
258,French Polynesia,2030,5-9,9.758,9.295
266,Gabon,2030,5-9,160.796,157.948
270,Gambia,2030,5-9,219.498,215.307
268,Georgia,2030,5-9,121.216,114.518
276,Germany,2030,5-9,2036.056,1928.832
288,Ghana,2030,5-9,2201.453,2112.362
300,Greece,2030,5-9,183.1,171.934
308,Grenada,2030,5-9,4.258,4.066
312,Guadeloupe,2030,5-9,11.236,10.875
316,Guam,2030,5-9,6.894,6.529
320,Guatemala,2030,5-9,1072.505,1026.688
324,Guinea,2030,5-9,1134.302,1118.908
624,Guinea-Bissau,2030,5-9,158.173,155.745
328,Guyana,2030,5-9,36.137,34.299
332,Haiti,2030,5-9,620.338,598.834
340,Honduras,2030,5-9,523.443,499.829
348,Hungary,2030,5-9,229.088,216.561
352,Iceland,2030,5-9,10.3,9.788
356,India,2030,5-9,60512.36,54920.827
360,Indonesia,2030,5-9,11760.818,11253.613
364,Iran (Islamic Republic of),2030,5-9,3564.904,3393.172
368,Iraq,2030,5-9,2933.917,2774.295
372,Ireland,2030,5-9,147.382,140.475
376,Israel,2030,5-9,437.323,415.758
380,Italy,2030,5-9,1107.062,1042.852
388,Jamaica,2030,5-9,110.972,106.54
392,Japan,2030,5-9,2262.711,2144.016
400,Jordan,2030,5-9,490.437,464.244
398,Kazakhstan,2030,5-9,876.389,827.613
404,Kenya,2030,5-9,3764.197,3694.941
296,Kiribati,2030,5-9,7.706,7.413
414,Kuwait,2030,5-9,127.777,122.553
417,Kyrgyzstan,2030,5-9,367.178,348.477
428,Latvia,2030,5-9,44.614,42.125
422,Lebanon,2030,5-9,226.349,216.805
426,Lesotho,2030,5-9,117.959,116.911
430,Liberia,2030,5-9,402.196,386.588
434,Libya,2030,5-9,299.702,283.943
440,Lithuania,2030,5-9,64.152,60.829
442,Luxembourg,2030,5-9,18.137,17.337
450,Madagascar,2030,5-9,2265.157,2220.722
454,Malawi,2030,5-9,1623.805,1594.817
458,Malaysia,2030,5-9,1365.531,1286.485
462,Maldives,2030,5-9,16.309,15.34
466,Mali,2030,5-9,1973.398,1912.653
470,Malta,2030,5-9,11.202,10.579
474,Martinique,2030,5-9,8.958,8.624
478,Mauritania,2030,5-9,374.192,361.749
480,Mauritius,2030,5-9,31.717,30.499
175,Mayotte,2030,5-9,19.258,18.712
928,Melanesia,2030,5-9,729.417,684.281
484,Mexico,2030,5-9,5428.489,5179.57
954,Micronesia,2030,5-9,27.408,26.08
496,Mongolia,2030,5-9,172.958,168.708
499,Montenegro,2030,5-9,18.162,17.029
504,Morocco,2030,5-9,1639.796,1553.486
508,Mozambique,2030,5-9,2837.384,2824.263
104,Myanmar,2030,5-9,2242.155,2206.246
516,Namibia,2030,5-9,168.288,168.408
524,Nepal,2030,5-9,1383.519,1317.723
528,Netherlands,2030,5-9,451.768,430.501
540,New Caledonia,2030,5-9,10.104,9.645
554,New Zealand,2030,5-9,157.457,149.389
558,Nicaragua,2030,5-9,319.095,304.497
562,Niger,2030,5-9,2781.619,2685.87
566,Nigeria,2030,5-9,18219.675,17418.023
807,North Macedonia,2030,5-9,52.74,50.084
578,Norway,2030,5-9,165.111,155.28
1835,Oceania (excluding Australia and New Zealand),2030,5-9,788.788,740.365
512,Oman,2030,5-9,215.361,205.285
586,Pakistan,2030,5-9,14497.466,13475.13
591,Panama,2030,5-9,201.399,192.52
598,Papua New Guinea,2030,5-9,597.28,558.862
600,Paraguay,2030,5-9,355.762,340.19
604,Peru,2030,5-9,1432.332,1368.524
608,Philippines,2030,5-9,5525.817,5241.271
616,Poland,2030,5-9,880.671,834.356
957,Polynesia,2030,5-9,31.963,30.004
620,Portugal,2030,5-9,200.698,189.482
630,Puerto Rico,2030,5-9,51.925,49.587
634,Qatar,2030,5-9,73.746,69.35
410,Republic of Korea,2030,5-9,896.009,846.42
498,Republic of Moldova,2030,5-9,94.657,89.797
642,Romania,2030,5-9,448.296,424.347
643,Russian Federation,2030,5-9,4222.507,4009.656
646,Rwanda,2030,5-9,981.584,961.909
638,R̩union,2030,5-9,31.865,30.868
662,Saint Lucia,2030,5-9,5.139,5.008
670,Saint Vincent and the Grenadines,2030,5-9,3.737,3.64
882,Samoa,2030,5-9,11.844,10.983
678,Sao Tome and Principe,2030,5-9,16.772,16.412
682,Saudi Arabia,2030,5-9,1417.282,1377.065
686,Senegal,2030,5-9,1405.28,1368.741
688,Serbia,2030,5-9,197.869,186.81
690,Seychelles,2030,5-9,3.75,3.545
694,Sierra Leone,2030,5-9,586.17,582.206
702,Singapore,2030,5-9,135.252,124.853
703,Slovakia,2030,5-9,136.473,130.185
705,Slovenia,2030,5-9,47.926,45.48
90,Solomon Islands,2030,5-9,55.06,52.158
706,Somalia,2030,5-9,1565.111,1547.666
724,Spain,2030,5-9,953.797,897.26
144,Sri Lanka,2030,5-9,767.632,741.097
275,State of Palestine,2030,5-9,366.707,349.88
729,Sudan,2030,5-9,3406.847,3322.181
740,Suriname,2030,5-9,26.139,24.778
752,Sweden,2030,5-9,315.093,297.707
756,Switzerland,2030,5-9,235.215,224.342
760,Syrian Arab Republic,2030,5-9,1369.196,1307.436
762,Tajikistan,2030,5-9,674.513,638.327
764,Thailand,2030,5-9,1708.068,1611.073
626,Timor-Leste,2030,5-9,93.379,90.143
768,Togo,2030,5-9,646.271,643.192
776,Tonga,2030,5-9,6.181,5.867
780,Trinidad and Tobago,2030,5-9,39.81,38.571
788,Tunisia,2030,5-9,469.118,447.493
792,Turkey,2030,5-9,3209.668,3065.185
795,Turkmenistan,2030,5-9,311.813,303.37
800,Uganda,2030,5-9,4033.809,3962.583
804,Ukraine,2030,5-9,947.795,894.678
784,United Arab Emirates,2030,5-9,260.655,250.004
826,United Kingdom,2030,5-9,2005.274,1909.935
834,United Republic of Tanzania,2030,5-9,5404.314,5295.463
850,United States Virgin Islands,2030,5-9,2.849,2.683
840,United States of America,2030,5-9,10447.753,10001.658
858,Uruguay,2030,5-9,116.903,111.671
860,Uzbekistan,2030,5-9,1610.507,1520.219
548,Vanuatu,2030,5-9,22.671,21.527
862,Venezuela (Bolivarian Republic of),2030,5-9,1279.981,1226.344
704,Viet Nam,2030,5-9,3823.474,3497.033
887,Yemen,2030,5-9,2117.516,2035.394
894,Zambia,2030,5-9,1648.998,1618.532
716,Zimbabwe,2030,5-9,1022.205,1010.703
4,Afghanistan,2030,10-14,2854.989,2719.648
8,Albania,2030,10-14,84.085,77.258
12,Algeria,2030,10-14,2558.744,2456.208
24,Angola,2030,10-14,2855.005,2815.455
28,Antigua and Barbuda,2030,10-14,3.72,3.618
32,Argentina,2030,10-14,1899.349,1830.056
51,Armenia,2030,10-14,107.047,96.5
533,Aruba,2030,10-14,3.133,3.031
36,Australia,2030,10-14,924.657,879.92
40,Austria,2030,10-14,233.572,221.09
31,Azerbaijan,2030,10-14,433.299,388.058
44,Bahamas,2030,10-14,13.979,13.254
48,Bahrain,2030,10-14,55.1,53.865
50,Bangladesh,2030,10-14,7259.238,6946.885
52,Barbados,2030,10-14,7.654,7.406
112,Belarus,2030,10-14,277.358,270.802
56,Belgium,2030,10-14,336.815,317.982
84,Belize,2030,10-14,20.033,19.53
204,Benin,2030,10-14,932.945,908.821
64,Bhutan,2030,10-14,32.21,31.198
68,Bolivia (Plurinational State of),2030,10-14,593.29,568.948
70,Bosnia and Herzegovina,2030,10-14,68.512,64.437
72,Botswana,2030,10-14,136.742,133.725
76,Brazil,2030,10-14,7381.974,7054.994
96,Brunei Darussalam,2030,10-14,16.201,15.382
100,Bulgaria,2030,10-14,159.821,151.008
854,Burkina Faso,2030,10-14,1716.468,1654.586
108,Burundi,2030,10-14,1002.862,988.734
132,Cabo Verde,2030,10-14,25.915,25.271
116,Cambodia,2030,10-14,892.615,861.958
120,Cameroon,2030,10-14,2012.947,1980.887
124,Canada,2030,10-14,1047.947,1000.337
148,Chad,2030,10-14,1387.878,1376.943
830,Channel Islands,2030,10-14,4.56,4.329
152,Chile,2030,10-14,584.576,562.655
156,China,2030,10-14,44284.584,39344.41
344,"China, Hong Kong SAR",2030,10-14,192.873,178.432
446,"China, Macao SAR",2030,10-14,18.938,18.147
158,"China, Taiwan Province of China",2030,10-14,531.064,494.68
170,Colombia,2030,10-14,1872.933,1788.506
174,Comoros,2030,10-14,60.457,58.426
178,Congo,2030,10-14,408.685,401.117
188,Costa Rica,2030,10-14,178.475,170.351
191,Croatia,2030,10-14,94.386,88.911
192,Cuba,2030,10-14,291.877,276.321
531,Cura̤ao,2030,10-14,4.706,4.515
196,Cyprus,2030,10-14,34.512,32.59
203,Czechia,2030,10-14,290.669,275.225
384,C̫te d'Ivoire,2030,10-14,2015.179,1995.159
408,Dem. People's Republic of Korea,2030,10-14,888.147,847.153
180,Democratic Republic of the Congo,2030,10-14,7658.944,7539.603
208,Denmark,2030,10-14,161.622,153.444
262,Djibouti,2030,10-14,49.251,48.368
214,Dominican Republic,2030,10-14,505.769,485.816
218,Ecuador,2030,10-14,846.369,809.278
818,Egypt,2030,10-14,6487.869,6138.649
222,El Salvador,2030,10-14,284.389,271.247
226,Equatorial Guinea,2030,10-14,98.928,96.735
232,Eritrea,2030,10-14,248.483,239.148
233,Estonia,2030,10-14,35.68,33.188
748,Eswatini,2030,10-14,71.062,70.243
231,Ethiopia,2030,10-14,8339.527,8142.892
242,Fiji,2030,10-14,45.259,42.886
246,Finland,2030,10-14,139.381,132.768
250,France,2030,10-14,1897.159,1814.616
254,French Guiana,2030,10-14,18.393,17.573
258,French Polynesia,2030,10-14,10.226,9.756
266,Gabon,2030,10-14,159.246,156.654
270,Gambia,2030,10-14,197.685,194.501
268,Georgia,2030,10-14,136.399,128.313
276,Germany,2030,10-14,2105.471,2000.242
288,Ghana,2030,10-14,2083.483,1996.971
300,Greece,2030,10-14,210.334,197.456
308,Grenada,2030,10-14,4.569,4.363
312,Guadeloupe,2030,10-14,11.48,11.142
316,Guam,2030,10-14,6.707,6.36
320,Guatemala,2030,10-14,1045.38,1001.641
324,Guinea,2030,10-14,1027.297,1010.894
624,Guinea-Bissau,2030,10-14,148.329,146.291
328,Guyana,2030,10-14,37.074,35.013
332,Haiti,2030,10-14,620.242,599.341
340,Honduras,2030,10-14,515.198,492.425
348,Hungary,2030,10-14,237.531,224.665
352,Iceland,2030,10-14,10.517,9.997
356,India,2030,10-14,60562.054,54997.893
360,Indonesia,2030,10-14,12006.164,11487.044
364,Iran (Islamic Republic of),2030,10-14,3900.294,3712.414
368,Iraq,2030,10-14,2742.392,2594.414
372,Ireland,2030,10-14,163.155,153.724
376,Israel,2030,10-14,435.914,414.646
380,Italy,2030,10-14,1214.829,1145.231
388,Jamaica,2030,10-14,115.905,111.299
392,Japan,2030,10-14,2458.151,2329.55
400,Jordan,2030,10-14,474.797,446.211
398,Kazakhstan,2030,10-14,987.196,927.549
404,Kenya,2030,10-14,3514.112,3452.341
296,Kiribati,2030,10-14,7.618,7.265
414,Kuwait,2030,10-14,149.628,143.039
417,Kyrgyzstan,2030,10-14,387.282,367.923
428,Latvia,2030,10-14,58.59,53.709
422,Lebanon,2030,10-14,216.344,204.005
426,Lesotho,2030,10-14,116.198,115.927
430,Liberia,2030,10-14,367.114,352.815
434,Libya,2030,10-14,318.862,302.444
440,Lithuania,2030,10-14,73.405,69.029
442,Luxembourg,2030,10-14,18.538,17.558
450,Madagascar,2030,10-14,2043.163,2006.575
454,Malawi,2030,10-14,1454.481,1430.719
458,Malaysia,2030,10-14,1360.44,1281.47
462,Maldives,2030,10-14,18.021,16.944
466,Mali,2030,10-14,1754.26,1701.419
470,Malta,2030,10-14,11.217,10.606
474,Martinique,2030,10-14,9.267,8.938
478,Mauritania,2030,10-14,344.124,332.771
480,Mauritius,2030,10-14,32.576,31.338
175,Mayotte,2030,10-14,18.277,17.765
928,Melanesia,2030,10-14,694.292,650.758
484,Mexico,2030,10-14,5580.89,5333.325
954,Micronesia,2030,10-14,26.941,25.477
496,Mongolia,2030,10-14,189.064,184.495
499,Montenegro,2030,10-14,19.028,17.679
504,Morocco,2030,10-14,1692.004,1606.304
508,Mozambique,2030,10-14,2541.475,2525.566
104,Myanmar,2030,10-14,2240.362,2209.39
516,Namibia,2030,10-14,165.406,165.575
524,Nepal,2030,10-14,1366.133,1313.056
528,Netherlands,2030,10-14,443.513,421.722
540,New Caledonia,2030,10-14,10.156,9.713
554,New Zealand,2030,10-14,159.097,151.613
558,Nicaragua,2030,10-14,329.577,312.724
562,Niger,2030,10-14,2363.114,2283.51
566,Nigeria,2030,10-14,16420.493,15718.872
807,North Macedonia,2030,10-14,57.38,53.977
578,Norway,2030,10-14,158.936,149.354
1835,Oceania (excluding Australia and New Zealand),2030,10-14,755.36,708.224
512,Oman,2030,10-14,232.664,222.386
586,Pakistan,2030,10-14,14237.049,13213.389
591,Panama,2030,10-14,198.683,190.223
598,Papua New Guinea,2030,10-14,564.709,528.216
600,Paraguay,2030,10-14,354.449,338.596
604,Peru,2030,10-14,1433.76,1369.312
608,Philippines,2030,10-14,5394.834,5119.845
616,Poland,2030,10-14,964.704,915.186
957,Polynesia,2030,10-14,34.127,31.989
620,Portugal,2030,10-14,207.187,195.049
630,Puerto Rico,2030,10-14,45.366,42.602
634,Qatar,2030,10-14,75.372,70.287
410,Republic of Korea,2030,10-14,977.433,924.098
498,Republic of Moldova,2030,10-14,103.483,98.21
642,Romania,2030,10-14,479.735,454.061
643,Russian Federation,2030,10-14,4762.758,4512.394
646,Rwanda,2030,10-14,939.052,927.393
638,R̩union,2030,10-14,32.378,31.273
662,Saint Lucia,2030,10-14,5.459,5.323
670,Saint Vincent and the Grenadines,2030,10-14,3.867,3.767
882,Samoa,2030,10-14,13.792,12.748
678,Sao Tome and Principe,2030,10-14,15.794,15.455
682,Saudi Arabia,2030,10-14,1495.259,1453.228
686,Senegal,2030,10-14,1306.243,1273.113
688,Serbia,2030,10-14,214.766,200.459
690,Seychelles,2030,10-14,4.057,3.835
694,Sierra Leone,2030,10-14,557.962,552.504
702,Singapore,2030,10-14,137.622,126.801
703,Slovakia,2030,10-14,145.155,138.534
705,Slovenia,2030,10-14,52.235,49.444
90,Solomon Islands,2030,10-14,52.636,49.598
706,Somalia,2030,10-14,1349.207,1335.082
724,Spain,2030,10-14,1031.584,970.658
144,Sri Lanka,2030,10-14,812.884,790.434
275,State of Palestine,2030,10-14,349.952,334.135
729,Sudan,2030,10-14,3132.845,3056.187
740,Suriname,2030,10-14,26.797,24.927
752,Sweden,2030,10-14,312.608,295.686
756,Switzerland,2030,10-14,235.801,225.362
760,Syrian Arab Republic,2030,10-14,1414.477,1343.981
762,Tajikistan,2030,10-14,692.898,655.57
764,Thailand,2030,10-14,1848.17,1745.108
626,Timor-Leste,2030,10-14,88.976,85.918
768,Togo,2030,10-14,593.839,590.062
776,Tonga,2030,10-14,6.142,5.817
780,Trinidad and Tobago,2030,10-14,44.534,43.172
788,Tunisia,2030,10-14,513.704,487.909
792,Turkey,2030,10-14,3314.645,3170.064
795,Turkmenistan,2030,10-14,331.896,323.045
